Name of Covered Entity,State,Covered Entity Type,Individuals Affected,Breach Submission Date,Type of Breach,Location of Breached Information,Business Associate Present,Web Description
DotHouse Health Incorporated,MA,Healthcare Provider,10000,2023-01-27,Hacking/IT Incident,Network Server,No,
Cedar Oaks Surgery Center ,MO,Healthcare Provider,794,2023-01-27,Hacking/IT Incident,Email,No,
Stroke Scan Inc,TX,Healthcare Provider,50000,2023-01-27,Hacking/IT Incident,Desktop Computer,No,
Minuteman Senior Services,MA,Healthcare Provider,500,2023-01-27,Hacking/IT Incident,Email,No,
Hayward Sisters Hospital d/b/a St. Rose Hospital ,CA,Healthcare Provider,501,2023-01-27,Hacking/IT Incident,Network Server,No,
Howard Memorial Hospital,AR,Healthcare Provider,53668,2023-01-27,Hacking/IT Incident,Network Server,No,
"Valley Care Home Health Services, Inc.",CA,Healthcare Provider,2674,2023-01-25,Theft,Other Portable Electronic Device,No,
"AppleCare, LLC",GA,Healthcare Provider,512,2023-01-23,Unauthorized Access/Disclosure,Paper/Films,Yes,
"Peachtree Immediate Care FP, LLC",GA,Healthcare Provider,2555,2023-01-23,Unauthorized Access/Disclosure,Paper/Films,Yes,
DCH Health System,AL,Healthcare Provider,2530,2023-01-20,Unauthorized Access/Disclosure,Desktop Computer,No,
One Brooklyn Health System,NY,Healthcare Provider,500,2023-01-18,Hacking/IT Incident,Network Server,No,
University of Colorado Hospital Authority,CO,Healthcare Provider,48879,2023-01-17,Hacking/IT Incident,Network Server,Yes,
Jefferson County Health Center d/b/a Jefferson County Health Department,MO,Healthcare Provider,115940,2023-01-13,Hacking/IT Incident,Network Server,No,
"DPP II, LLC",TX,Healthcare Provider,125981,2023-01-12,Hacking/IT Incident,Network Server,No,
Dr. Keith Rundle & Dr. Herman Rundle,CA,Healthcare Provider,7528,2023-01-12,Hacking/IT Incident,Network Server,No,
"Community Psychiatry Management, LLC, dba Mindpath Health",NC,Healthcare Provider,193947,2023-01-10,Hacking/IT Incident,Email,No,
"Vascular Institute of Houston, PLLC",TX,Healthcare Provider,1195,2023-01-05,Unauthorized Access/Disclosure,Electronic Medical Record,Yes,
"Vascular Institute of North Texas, PLLC ",TX,Healthcare Provider,5853,2023-01-05,Unauthorized Access/Disclosure,Electronic Medical Record,Yes,
Pershing Health System,MO,Healthcare Provider,5368,2023-01-05,Hacking/IT Incident,Email,No,
Insulet Corporation,MA,Healthcare Provider,29000,2023-01-05,Unauthorized Access/Disclosure,Network Server,No,
Texas Orthopaedic & Sports Medicine,TX,Healthcare Provider,1064,2023-01-05,Hacking/IT Incident,"Electronic Medical Record, Laptop",No,
Lantern Hill Retirement Community,NJ,Healthcare Provider,528,2023-01-05,Unauthorized Access/Disclosure,Network Server,No,
Live Oak Surgery Center,TX,Healthcare Provider,5264,2023-01-03,Hacking/IT Incident,Email,No,
"Circles of Care, Inc. ",FL,Healthcare Provider,61170,2023-01-03,Hacking/IT Incident,Network Server,No,
Fitzgibbon Hospital,MO,Healthcare Provider,112072,2022-12-30,Unauthorized Access/Disclosure,Network Server,No,
NR Florida Associates LLC,FL,Healthcare Provider,6250,2022-12-30,Hacking/IT Incident,Network Server,No,
The Kelberman Center ,NY,Healthcare Provider,3501,2022-12-30,Hacking/IT Incident,Email,No,
CellNetix Pathology & Laboratories,WA,Healthcare Provider,1969,2022-12-28,Hacking/IT Incident,Email,No,
Quality Behavioral Health,WA,Healthcare Provider,3498,2022-12-26,Hacking/IT Incident,Network Server,No,
"Midwest Orthopaedic Consultants, S.C.",IL,Healthcare Provider,6818,2022-12-22,Hacking/IT Incident,Network Server,No,
Legacy Operating Company d/b/a Legacy Hospice,AL,Healthcare Provider,21202,2022-12-22,Hacking/IT Incident,Email,No,
"Southwest Louisiana Health Care System, Inc. d/b/a Lake Charles Memorial Health System",LA,Healthcare Provider,269752,2022-12-22,Hacking/IT Incident,Network Server,No,
University of Miami ,FL,Healthcare Provider,973,2022-12-22,Unauthorized Access/Disclosure,Email,No,
Bay City Health & Rehabilitation Center ,TX,Healthcare Provider,2000,2022-12-20,Hacking/IT Incident,Network Server,No,
Louis A. Johnson Veterans' Administration Medical Center,WV,Healthcare Provider,736,2022-12-20,Unauthorized Access/Disclosure,Paper/Films,No,
Prairie Lakes Healthcare System,SD,Healthcare Provider,1060,2022-12-20,Hacking/IT Incident,Network Server,Yes,
Metropolitan Area EMS Authority dba MedStar Mobile Healthcare,TX,Healthcare Provider,612000,2022-12-19,Hacking/IT Incident,Network Server,No,
Hawaiian Eye Center,HI,Healthcare Provider,14524,2022-12-19,Hacking/IT Incident,Network Server,No,
Monarch,NC,Healthcare Provider,56155,2022-12-16,Hacking/IT Incident,Network Server,No,
"Foundcare, Inc.",FL,Healthcare Provider,14194,2022-12-16,Hacking/IT Incident,Email,No,
"Robert S Miller, LICSW, ACSW, PLLC",WA,Healthcare Provider,902,2022-12-13,Hacking/IT Incident,Laptop,No,
Sleep Center Hawaii,HI,Healthcare Provider,5396,2022-12-12,Hacking/IT Incident,Email,No,
Hanger Prosthetics and Orthotics,TX,Healthcare Provider,1354,2022-12-09,Hacking/IT Incident,Email,No,
"Pediatrics West, P.C.",MA,Healthcare Provider,1364,2022-12-09,Hacking/IT Incident,Network Server,No,
Rhode Island Department of Health,RI,Healthcare Provider,8800,2022-12-07,Unauthorized Access/Disclosure,Email,Yes,
Blakehurst,MD,Healthcare Provider,1047,2022-12-06,Hacking/IT Incident,Email,No,
Emory Healthcare,GA,Healthcare Provider,1891,2022-12-06,Unauthorized Access/Disclosure,Electronic Medical Record,No,
NYC Health + Hospitals,NY,Healthcare Provider,2174,2022-12-02,Loss,Other Portable Electronic Device,No,
Keck Medicine of USC,CA,Healthcare Provider,2200,2022-11-29,Hacking/IT Incident,Email,No,
Legacy Health,OR,Healthcare Provider,8065,2022-11-23,Theft,Other Portable Electronic Device,No,
Dallam Hartley Counties Hospital District,TX,Healthcare Provider,69835,2022-11-23,Hacking/IT Incident,Network Server,No,
Compton & Broomhead Dental Center,IN,Healthcare Provider,1307,2022-11-23,Hacking/IT Incident,Email,No,
Mena Regional Health System,AR,Healthcare Provider,84814,2022-11-22,Hacking/IT Incident,Network Server,No,
Hope Health Systems Inc.,MD,Healthcare Provider,9972,2022-11-21,Hacking/IT Incident,Electronic Medical Record,No,
Orlando Health,FL,Healthcare Provider,3662,2022-11-18,Hacking/IT Incident,Email,No,
Wright & Filippis LLC,MI,Healthcare Provider,877584,2022-11-18,Hacking/IT Incident,Network Server,No,
"Community Health Network, Inc. as an Affiliated Covered Entity",IN,Healthcare Provider,1500000,2022-11-18,Unauthorized Access/Disclosure,Network Server,No,
Gateway Rehabilitation Center,PA,Healthcare Provider,130000,2022-11-18,Hacking/IT Incident,Network Server,No,
University Medical Center of Southern Nevada,NV,Healthcare Provider,1861,2022-11-17,Unauthorized Access/Disclosure,Electronic Medical Record,No,
"CONSUMER DIRECTED SERVICES IN TEXAS, INC.",TX,Healthcare Provider,56728,2022-11-17,Hacking/IT Incident,Network Server,Yes,
South Walton Fire District,FL,Healthcare Provider,25331,2022-11-15,Hacking/IT Incident,Network Server,No,
Docs Medical Inc,CT,Healthcare Provider,3146,2022-11-15,Hacking/IT Incident,Network Server,No,
Epic Management LLC,TN,Healthcare Provider,10862,2022-11-14,Hacking/IT Incident,Email,No,
Yale University,CT,Healthcare Provider,9051,2022-11-11,Hacking/IT Incident,Network Server,No,
NewYork-Presbyterian Hospital,NY,Healthcare Provider,12000,2022-11-11,Hacking/IT Incident,Laptop,No,
"Stanley Street Treatment and Resources, Inc. ",MA,Healthcare Provider,45785,2022-11-11,Hacking/IT Incident,Network Server,No,
Manassas Surgery Center Anesthesia Services,NY,Healthcare Provider,726,2022-11-10,Hacking/IT Incident,Network Server,No,
Work Health Solutions,CA,Healthcare Provider,13157,2022-11-09,Hacking/IT Incident,Email,No,
Doctors' Center Hospital,,Healthcare Provider,1195220,2022-11-09,Hacking/IT Incident,Network Server,No,
"Eastside Pediatrics, PLLC",NY,Healthcare Provider,1723,2022-11-08,Hacking/IT Incident,Network Server,No,
"The Stern Cardiovascular Foundation, Inc.",TN,Healthcare Provider,501,2022-11-05,Hacking/IT Incident,Network Server,No,
"Titan Health Partners, LLC d/b/a Astera Cancer Care",NJ,Healthcare Provider,3848,2022-11-04,Hacking/IT Incident,Email,No,
OCEANVIEWS OPTICAL INC,FL,Healthcare Provider,2000,2022-11-03,Hacking/IT Incident,Network Server,No,
"Heart of Florida Health Center, Inc.",FL,Healthcare Provider,721,2022-10-31,Unauthorized Access/Disclosure,Network Server,Yes,
Gateway Ambulatory Surgery Center,NC,Healthcare Provider,18479,2022-10-31,Hacking/IT Incident,Email,No,
The Psychology Center,WI,Healthcare Provider,3614,2022-10-31,Unauthorized Access/Disclosure,Network Server,No,
Mohave County Adult Detention Facility,AZ,Healthcare Provider,558,2022-10-31,Unauthorized Access/Disclosure,Network Server,Yes,
Navajo County Sheriff's Office,AZ,Healthcare Provider,797,2022-10-31,Unauthorized Access/Disclosure,Network Server,Yes,
Louisiana Department of Public Safety and Corrections,LA,Healthcare Provider,85466,2022-10-31,Unauthorized Access/Disclosure,Network Server,Yes,
St Luke's Health - Texas,TX,Healthcare Provider,16906,2022-10-30,Hacking/IT Incident,Email,Yes,
"Assurance Health System, LLC",IN,Healthcare Provider,3565,2022-10-28,Hacking/IT Incident,Email,No,
"Nationwide Optometry, PC",AZ,Healthcare Provider,73073,2022-10-28,Hacking/IT Incident,Network Server,Yes,
Sacramento County Adult Correctional Health,CA,Healthcare Provider,5372,2022-10-27,Unauthorized Access/Disclosure,Network Server,Yes,
University of Michigan/Michigan Medicine,MI,Healthcare Provider,33857,2022-10-25,Hacking/IT Incident,Email,No,
Coastal Horizons Center Inc.,NC,Healthcare Provider,679,2022-10-25,Unauthorized Access/Disclosure,Electronic Medical Record,No,
"Somnia, Inc.",NY,Healthcare Provider,1326,2022-10-24,Hacking/IT Incident,Network Server,No,
Somnia Pain Mgt of Kentucky,NY,Healthcare Provider,10848,2022-10-24,Hacking/IT Incident,Network Server,No,
"Phoenix Programs of Florida, Inc.",FL,Healthcare Provider,6594,2022-10-21,Hacking/IT Incident,Email,No,
"Dr. Scott B. Klimaj, DMD",RI,Healthcare Provider,1558,2022-10-21,Hacking/IT Incident,Network Server,No,
"Pynenberg & Scheske DDS,SC ",WI,Healthcare Provider,2612,2022-10-20,Hacking/IT Incident,Network Server,No,
Lifeline Systems Company,MA,Healthcare Provider,500,2022-10-16,Hacking/IT Incident,Network Server,No,
"Friend Family Health Center, Inc.",IL,Healthcare Provider,1419,2022-10-14,Hacking/IT Incident,Email,No,
Tift Regional Health System,GA,Healthcare Provider,500,2022-10-14,Hacking/IT Incident,Network Server,No,
"Alain A. Montiel, DDS",CA,Healthcare Provider,17157,2022-10-14,Theft,Laptop,No,
Presbyterian Healthcare Services,NM,Healthcare Provider,44450,2022-10-14,Hacking/IT Incident,Email,No,
WakeMed Health and Hospitals,NC,Healthcare Provider,495808,2022-10-14,Unauthorized Access/Disclosure,Network Server,No,
Springfield Clinic,IL,Healthcare Provider,802,2022-10-14,Loss,Other Portable Electronic Device,No,
"HH/Killeen Health System, LLC doing business as Seton Medical Center Harker Heights",TX,Healthcare Provider,15056,2022-10-14,Hacking/IT Incident,Email,Yes,
Ascension St. Vincent’s Coastal Cardiology,GA,Healthcare Provider,71227,2022-10-14,Hacking/IT Incident,Network Server,No,
The Valley Hospital,NJ,Healthcare Provider,4245,2022-10-14,Improper Disposal,Paper/Films,No,
Keystone Health,PA,Healthcare Provider,235237,2022-10-14,Hacking/IT Incident,Network Server,No,
"Premier Physical Therapy and Sports Performance, Limited Partnership",DE,Healthcare Provider,982,2022-10-12,Hacking/IT Incident,Email,No,
Sage Counseling Omaha,NE,Healthcare Provider,1359,2022-10-12,Theft,Electronic Medical Record,No,
"Aesthetic Dermatology Associates, PC",PA,Healthcare Provider,33793,2022-10-10,Hacking/IT Incident,Network Server,No,
"Regional Women’s Health Group, LLC",NJ,Healthcare Provider,804,2022-10-10,Unauthorized Access/Disclosure,Other Portable Electronic Device,No,
"Lifespire Services, Inc.",NY,Healthcare Provider,15375,2022-10-07,Hacking/IT Incident,Network Server,No,
"Falcon Healthcare, Inc. dba Interim Healthcare of Lubbock Texas",TX,Healthcare Provider,1500,2022-10-07,Hacking/IT Incident,Network Server,No,
"Urology of Greater Atlanta, LLC",GA,Healthcare Provider,79795,2022-10-07,Hacking/IT Incident,"Network Server, Other",No,
Berkshire Farm Center & Services for Youth,NY,Healthcare Provider,951,2022-10-06,Hacking/IT Incident,Email,No,
"Valle del Sol, Inc.",AZ,Healthcare Provider,70268,2022-10-05,Hacking/IT Incident,Network Server,No,
Family Medicine Shady Grove LLC,MD,Healthcare Provider,6482,2022-10-03,Hacking/IT Incident,Network Server,No,
"Monroe Ear Nose and Throat Associates, PC",MI,Healthcare Provider,14500,2022-09-30,Hacking/IT Incident,"Electronic Medical Record, Network Server",No,
"McPherson Hospital, Inc.",KS,Healthcare Provider,19020,2022-09-26,Hacking/IT Incident,Network Server,No,
Montefiore Medical Center,NY,Healthcare Provider,1332,2022-09-23,Theft,Other Portable Electronic Device,No,
"FMC Services, LLC",TX,Healthcare Provider,233948,2022-09-23,Hacking/IT Incident,Network Server,No,
Grayling Anesthesia Associates PC,MI,Healthcare Provider,15378,2022-09-23,Hacking/IT Incident,Network Server,No,
"Cynthia Paul, M.D., LLC d/b/a The Coeur Group",NE,Healthcare Provider,2020,2022-09-23,Hacking/IT Incident,Email,No,
WellMed Medical Management,TX,Healthcare Provider,10506,2022-09-23,Unauthorized Access/Disclosure,"Electronic Medical Record, Network Server",No,
"Dyersburg Family Walk-In Clinic, LLC (d/b/a Reelfoot Family Walk-In Clinic)",TN,Healthcare Provider,58562,2022-09-23,Hacking/IT Incident,Network Server,No,
Bloomington Meadows Hospital,IN,Healthcare Provider,788,2022-09-23,Unauthorized Access/Disclosure,Email,No,
UW Medicine,WA,Healthcare Provider,3804,2022-09-21,Hacking/IT Incident,Network Server,Yes,
Berkshire Farm Center & Services for Youth  ,NY,Healthcare Provider,23058,2022-09-16,Unauthorized Access/Disclosure,Network Server,No,
The Cooper Health System,NJ,Healthcare Provider,500,2022-09-16,Hacking/IT Incident,Email,No,
Landmark Management Services,FL,Healthcare Provider,501,2022-09-15,Hacking/IT Incident,Network Server,No,
"Centerstone of Tennessee, Inc.",TN,Healthcare Provider,3675,2022-09-12,Hacking/IT Incident,Email,No,
"SERV Behavioral Health Systems, Inc.",NJ,Healthcare Provider,8110,2022-09-09,Hacking/IT Incident,Network Server,No,
Medical Associates of the Lehigh Valley,PA,Healthcare Provider,75628,2022-09-09,Hacking/IT Incident,Network Server,No,
DaVita Inc.,CO,Healthcare Provider,1092,2022-09-06,Hacking/IT Incident,Laptop,No,
Narragansett Bay Commission,RI,Healthcare Provider,2153,2022-09-01,Hacking/IT Incident,Network Server,No,
Walgreen Co.,IL,Healthcare Provider,1704,2022-08-31,Theft,Paper/Films,No,
"The State Psychiatric Hospitals in the New Jersey Department of Health, Division of Behavioral Health Services",NJ,Healthcare Provider,850,2022-08-29,Hacking/IT Incident,Network Server,Yes,
NYSARC Columbia County Chapter d/b/a COARC,NY,Healthcare Provider,5701,2022-08-29,Hacking/IT Incident,Network Server,No,
Methodist McKinney Hospital,TX,Healthcare Provider,110244,2022-08-26,Hacking/IT Incident,Network Server,No,
Methodist Craig Ranch Surgical Center,TX,Healthcare Provider,15157,2022-08-26,Hacking/IT Incident,Network Server,No,
General Health System,LA,Healthcare Provider,46149,2022-08-25,Hacking/IT Incident,Network Server,No,
Farmville Internal Medicine,NC,Healthcare Provider,3000,2022-08-25,Hacking/IT Incident,"Electronic Medical Record, Network Server",Yes,
Community Bridges,NH,Healthcare Provider,10461,2022-08-24,Hacking/IT Incident,Network Server,No,
California Department of Corrections and Rehabilitation,CA,Healthcare Provider,236000,2022-08-22,Hacking/IT Incident,Network Server,No,
San Diego American Indian Health Center,CA,Healthcare Provider,27367,2022-08-15,Hacking/IT Incident,Network Server,No,
AdventHealth Medical Group OB GYN at Woodridge,IL,Healthcare Provider,2001,2022-08-15,Loss,Other Portable Electronic Device,No,
Priti Patel Physician PC,NY,Healthcare Provider,6877,2022-08-14,Hacking/IT Incident,Network Server,No,
Valley Baptist Medical Center – Harlingen,TX,Healthcare Provider,11137,2022-08-12,Hacking/IT Incident,Network Server,No,
Valley Baptist Medical Center - Brownsville,TX,Healthcare Provider,7496,2022-08-12,Hacking/IT Incident,Network Server,No,
Specialized Treatment Facility,MS,Healthcare Provider,1059,2022-08-12,Unauthorized Access/Disclosure,Email,No,
Rock County Human Services Department,WI,Healthcare Provider,25610,2022-08-12,Hacking/IT Incident,Email,No,
Lamoille Health Partners,VT,Healthcare Provider,59381,2022-08-11,Hacking/IT Incident,Network Server,No,
Maternal and Family Health Services,PA,Healthcare Provider,500,2022-08-08,Hacking/IT Incident,Network Server,No,
Living Innovations,NH,Healthcare Provider,4000,2022-08-05,Hacking/IT Incident,Email,No,
"Centerstone of Indiana, Inc.",IN,Healthcare Provider,1700,2022-08-04,Hacking/IT Incident,Email,No,
"Independent Case Management, INC.",AR,Healthcare Provider,3307,2022-08-03,Hacking/IT Incident,Network Server,No,
Eventus WholeHealth PLLC,NC,Healthcare Provider,1707,2022-07-29,Hacking/IT Incident,Email,No,
"Healthback Holdings, LLC ",OK,Healthcare Provider,21114,2022-07-29,Hacking/IT Incident,Email,No,
Minuteman Senior Services,MA,Healthcare Provider,4000,2022-07-29,Hacking/IT Incident,Email,No,
"BHG Holdings, LLC dba Behavioral Health Group",TX,Healthcare Provider,197507,2022-07-27,Hacking/IT Incident,Network Server,No,
Dr. Manaf Ahmad,TX,Healthcare Provider,3717,2022-07-26,Hacking/IT Incident,Email,No,
Allegheny Heath Network,PA,Healthcare Provider,8071,2022-07-26,Hacking/IT Incident,Email,No,
Center for Primary Care,GA,Healthcare Provider,2400,2022-07-25,Hacking/IT Incident,Email,No,
Radiation Oncology Centers of the Carolinas,NC,Healthcare Provider,1116,2022-07-25,Hacking/IT Incident,Email,No,
Central Maine Medical Center,ME,Healthcare Provider,11938,2022-07-21,Hacking/IT Incident,Network Server,Yes,
Dow Rummel Village,SD,Healthcare Provider,1079,2022-07-20,Hacking/IT Incident,Email,No,
Goodman Campbell Brain and Spine,IN,Healthcare Provider,362833,2022-07-19,Hacking/IT Incident,Network Server,No,
ProMedica,OH,Healthcare Provider,1178,2022-07-19,Unauthorized Access/Disclosure,Email,No,
"Acts Retirement Services, Inc. and Affiliates",PA,Healthcare Provider,2236,2022-07-15,Hacking/IT Incident,Network Server,No,
Mary Hitchcock Memorial Hospital d/b/a Dartmouth-Hitchcock Medical Center ,NH,Healthcare Provider,1201,2022-07-15,Loss,Laptop,No,
Benson Health,NC,Healthcare Provider,28913,2022-07-15,Hacking/IT Incident,Network Server,No,
Washington University School of Medicine,MO,Healthcare Provider,1056,2022-07-14,Hacking/IT Incident,Network Server,No,
Family Practice Center PC,PA,Healthcare Provider,83969,2022-07-11,Hacking/IT Incident,Network Server,No,
Associated Eye Care,MN,Healthcare Provider,40793,2022-07-08,Hacking/IT Incident,Network Server,Yes,
Cornerstone Services,IL,Healthcare Provider,2513,2022-07-08,Hacking/IT Incident,Network Server,No,
Southwest Health Center,WI,Healthcare Provider,46142,2022-07-05,Hacking/IT Incident,Network Server,No,
Cheyenne Regional Medical Center ,WY,Healthcare Provider,1652,2022-07-05,Unauthorized Access/Disclosure,"Desktop Computer, Electronic Medical Record",No,
CHRISTUS Spohn Health System Corporation,TX,Healthcare Provider,15062,2022-07-01,Hacking/IT Incident,Network Server,No,
Michigan Avenue Immediate Care,IL,Healthcare Provider,144104,2022-06-30,Hacking/IT Incident,Network Server,No,
"OrthoWest, PC",NE,Healthcare Provider,1369,2022-06-30,Hacking/IT Incident,Email,No,
"Mattax Neu Prater Eye Center, Inc.",MO,Healthcare Provider,92361,2022-06-28,Hacking/IT Incident,Electronic Medical Record,Yes,
Hudson Regional Hospital,NJ,Healthcare Provider,1300,2022-06-22,Hacking/IT Incident,Network Server,Yes,
Winslow Memorial Hospital d/b/a Little Colorado Medical Center,AZ,Healthcare Provider,1000,2022-06-21,Hacking/IT Incident,Network Server,No,
ARC Industries Inc. of Franklin County,OH,Healthcare Provider,22011,2022-06-17,Hacking/IT Incident,Network Server,No,
Help at Home ,IL,Healthcare Provider,800,2022-06-17,Improper Disposal,Paper/Films,No,
Liberty Healthcare Group ,NC,Healthcare Provider,2191,2022-06-16,Hacking/IT Incident,Email,No,
Baptist Medical Center,TX,Healthcare Provider,1608549,2022-06-15,Hacking/IT Incident,Network Server,No,
Resolute Health Hospital,TX,Healthcare Provider,54239,2022-06-15,Hacking/IT Incident,Network Server,No,
"Bayshore Brightwaters Rescue Ambulance, Inc.",NY,Healthcare Provider,500,2022-06-10,Hacking/IT Incident,Email,No,
Yuma Regional Medical Center,AZ,Healthcare Provider,783145,2022-06-09,Hacking/IT Incident,Network Server,No,
"Christiana Spine Center, PA",DE,Healthcare Provider,3500,2022-06-09,Hacking/IT Incident,Network Server,No,
Heartland Healthcare Services,OH,Healthcare Provider,2763,2022-06-09,Hacking/IT Incident,Network Server,No,
Chesapeake Eye Center PA,MD,Healthcare Provider,32770,2022-06-09,Hacking/IT Incident,Network Server,Yes,
Southern Ohio Medical Center,OH,Healthcare Provider,1333,2022-06-08,Hacking/IT Incident,Network Server,Yes,
Atrium Health at Home,NC,Healthcare Provider,6695,2022-06-07,Hacking/IT Incident,Email,No,
"Memorial Community Health, Inc.",NE,Healthcare Provider,1658,2022-06-06,Hacking/IT Incident,Network Server,No,
Spectrum Eye Physicians,CA,Healthcare Provider,175000,2022-06-06,Hacking/IT Incident,Network Server,Yes,
Virginia Mason Medical Center ,WA,Healthcare Provider,1523,2022-05-31,Hacking/IT Incident,Network Server,No,
University of Chicago Medical Center,IL,Healthcare Provider,2568,2022-05-27,Hacking/IT Incident,Email,No,
"Stephen Sims, MD, PA dba North Lakes Pain Consultants",TX,Healthcare Provider,8620,2022-05-27,Hacking/IT Incident,Network Server,No,
Fred Hutchinson Cancer Center,WA,Healthcare Provider,500,2022-05-25,Hacking/IT Incident,Email,No,
"Moyes Eye Center, PC",MO,Healthcare Provider,38000,2022-05-25,Hacking/IT Incident,Electronic Medical Record,Yes,
"Family Health Care, Inc",KS,Healthcare Provider,33619,2022-05-24,Hacking/IT Incident,Network Server,No,
Val Verde Regional Medical Center (“VVRMC”) ,TX,Healthcare Provider,86562,2022-05-24,Hacking/IT Incident,Network Server,No,
Allwell Behavioral Health Services,OH,Healthcare Provider,29972,2022-05-23,Hacking/IT Incident,Network Server,No,
Alameda Health System,CA,Healthcare Provider,90000,2022-05-20,Hacking/IT Incident,Email,No,
Bryan County Ambulance Authority,OK,Healthcare Provider,14273,2022-05-18,Hacking/IT Incident,Network Server,No,
Allaire Healthcare Group,NJ,Healthcare Provider,13148,2022-05-17,Hacking/IT Incident,Email,No,
Northern Rockies Orthopaedics,MT,Healthcare Provider,6701,2022-05-17,Hacking/IT Incident,Email,No,
Apria Healthcare LLC,IN,Healthcare Provider,1868831,2022-05-16,Hacking/IT Incident,"Email, Network Server",No,
Schneck Medical Center ,IN,Healthcare Provider,92311,2022-05-13,Hacking/IT Incident,Network Server,No,
Genetics & IVF Institute ,VA,Healthcare Provider,606,2022-05-11,Hacking/IT Incident,Network Server,No,
Summit Healthcare Association,AZ,Healthcare Provider,1403,2022-05-11,Hacking/IT Incident,Network Server,Yes,
McKenzie Health System,MI,Healthcare Provider,25318,2022-05-10,Hacking/IT Incident,Network Server,No,
"NuLife Med, LLC",NH,Healthcare Provider,81244,2022-05-09,Hacking/IT Incident,Network Server,No,
"Mindpath Care Centers, North Carolina, PLLC ",NC,Healthcare Provider,1781,2022-05-06,Hacking/IT Incident,Email,No,
"Guardian Pharmacy of Cincinnati LLC dba Mullaney’s, A Guardian Pharmacy",OH,Healthcare Provider,1720,2022-05-06,Unauthorized Access/Disclosure,Email,No,
SAC Health System,CA,Healthcare Provider,149940,2022-05-05,Theft,Paper/Films,No,
Greater Nashua Mental Health,NH,Healthcare Provider,1085,2022-05-04,Hacking/IT Incident,Network Server,No,
Ad Astra Eye LLC,KS,Healthcare Provider,3684,2022-04-29,Hacking/IT Incident,Electronic Medical Record,Yes,
Refuah Health Center,NY,Healthcare Provider,260740,2022-04-29,Hacking/IT Incident,Network Server,No,
"Frank Eye Center, P.A.",KS,Healthcare Provider,26333,2022-04-29,Hacking/IT Incident,Electronic Medical Record,Yes,
"Arkfeld, Parson, and Goldstein, P.C. doing business as ilumin",NE,Healthcare Provider,14984,2022-04-29,Hacking/IT Incident,Electronic Medical Record,Yes,
The People Concern,CA,Healthcare Provider,7600,2022-04-28,Hacking/IT Incident,Email,No,
"Northern Eye Care Associates, P.C.",MI,Healthcare Provider,8000,2022-04-28,Hacking/IT Incident,Network Server,Yes,
Affiliated Eye Surgeons,MI,Healthcare Provider,23400,2022-04-28,Hacking/IT Incident,Network Server,No,
"Allied Eye Physicians and Surgeons, Inc.",OH,Healthcare Provider,20651,2022-04-27,Hacking/IT Incident,Network Server,Yes,
Southern Ohio Medical Center,OH,Healthcare Provider,15136,2022-04-26,Hacking/IT Incident,Network Server,No,
Montefiore Medical Center ,NY,Healthcare Provider,3717,2022-04-22,Unauthorized Access/Disclosure,Electronic Medical Record,No,
The Mental Health Center of Greater Manchester,NH,Healthcare Provider,1322,2022-04-22,Hacking/IT Incident,Network Server,Yes,
"Illinois Gastroenterology Group, PLLC",IL,Healthcare Provider,227943,2022-04-22,Hacking/IT Incident,Network Server,No,
County of Los Angeles Department of Mental Health,CA,Healthcare Provider,5129,2022-04-20,Hacking/IT Incident,Email,No,
"Wayne Family Practice Associates, PC",GA,Healthcare Provider,5944,2022-04-19,Hacking/IT Incident,Network Server,No,
"Fairfield County Implants and Periodontics, LLC",CT,Healthcare Provider,10502,2022-04-19,Hacking/IT Incident,Email,No,
"Optima Dermatology Holdings, LLC",NH,Healthcare Provider,59872,2022-04-18,Hacking/IT Incident,Email,No,
New Creation Counseling Center ,OH,Healthcare Provider,24029,2022-04-14,Hacking/IT Incident,"Network Server, Other",No,
Newman Regional Health,KS,Healthcare Provider,52224,2022-04-14,Hacking/IT Incident,Email,No,
Onehome Health Solutions,FL,Healthcare Provider,15401,2022-04-13,Theft,Laptop,No,
Adaptive Health Integrations,ND,Healthcare Provider,510574,2022-04-11,Hacking/IT Incident,Network Server,No,
The MetroHealth System,OH,Healthcare Provider,1748,2022-04-11,Unauthorized Access/Disclosure,"Electronic Medical Record, Email, Paper/Films",No,
East Tennessee Children's Hospital,TN,Healthcare Provider,501,2022-04-07,Hacking/IT Incident,Network Server,No,
Englewood Health,NJ,Healthcare Provider,3901,2022-03-30,Hacking/IT Incident,Network Server,No,
Medical Surgical Eye Care,KS,Healthcare Provider,2000,2022-03-28,Hacking/IT Incident,Network Server,No,
Lutheran Social Services of Illinois,IL,Healthcare Provider,1000,2022-03-25,Hacking/IT Incident,Network Server,No,
"Christie Business Holdings Company, P.C.",IL,Healthcare Provider,502869,2022-03-25,Hacking/IT Incident,Email,No,
"Thomas Allen, Inc.",MN,Healthcare Provider,2803,2022-03-23,Hacking/IT Incident,Email,No,
Taylor Regional Hospital ,KY,Healthcare Provider,190209,2022-03-21,Hacking/IT Incident,Network Server,No,
Livingston Memorial VNA Health Corporation and its affiliates Livingston Memorial Visiting Nurse Association and Livingston CareGivers,CA,Healthcare Provider,34775,2022-03-21,Hacking/IT Incident,Network Server,No,
Cancer and Hematology Centers of Western Michigan ,MI,Healthcare Provider,43071,2022-03-18,Hacking/IT Incident,Network Server,No,
